order,experiment,filename,notebook,note,category,correct,total,accuracy
1,First option,first_option_comp_1.csv,00_api_smoke_test.ipynb,Baseline naive Ancient History and Politics,Ancient History and Politics,0,9,0.0
10,TF-IDF,simplewiki_tfidf_no_llm_all_competitions.csv,01_quiz_tfidf_no_llm.ipynb,"SimpleWiki TF-IDF, no LLM",Ancient History and Politics,15,40,0.375
20,BM25,simplewiki_bm25_no_llm_all_competitions.csv,02_quiz_bm25_no_llm.ipynb,"SimpleWiki BM25, no LLM",Ancient History and Politics,2,7,0.2857142857142857
30,KELM BM25,simplewiki_kelm_bm25_no_llm_all_competitions.csv,03_quiz_bm25_multi_index_no_llm.ipynb,"SimpleWiki + KELM BM25, no LLM",Ancient History and Politics,5,15,0.3333333333333333
40,BERT rerank,simplewiki_kelm_bert_no_llm_all_competitions_colab.csv,05_quiz_bm25_multi_index_bert_no_llm_colab.ipynb,"BM25 multi-index + BERT reranker, no LLM",Ancient History and Politics,15,26,0.5769230769230769
50,BERT + LLM/tools,simplewiki_kelm_bm25_bert_llm_agentic_tools_colab.csv,06_quiz_bm25_bert_llm_agentic_tools_colab.ipynb,RAG + small LLM + initial agentic tools,Ancient History and Politics,8,19,0.42105263157894735
80,Qwen GGUF,run_qwen35_gguf_all_competitions.csv,08_hybrid_pipeline.ipynb,Qwen3.5 GGUF hybrid RAG,Ancient History and Politics,84,99,0.8484848484848485
90,Qwen + math tools,run_qwen35_gguf_math_tools_v2_all_competitions.csv,09_hybrid_pipeline_math_tools.ipynb,Hybrid RAG plus early Maths tool pipeline,Ancient History and Politics,101,131,0.7709923664122137
100,Agentic tools,run_qwen35_gguf_agentic_tools_v3_all_competitions.csv,10_agentic_math_tools_prof_style.ipynb / 11_agentic_math_router_hardened.ipynb,Agentic Maths tool router and hardening baseline,Ancient History and Politics,41,44,0.9318181818181818
120,Validated V1,run_qwen35_gguf_validated_tools_option_retrieval.csv,12_validated_tools_option_retrieval.ipynb,Validated tools + option-wise retrieval V1,Ancient History and Politics,4,9,0.4444444444444444
122,Validated V2,run_qwen35_gguf_validated_tools_option_retrieval_v2.csv,12_V2_validated_tools_option_retrieval.ipynb,"GBNF, adaptive option retrieval, Maths fixes",Ancient History and Politics,36,40,0.9
126,External V6,run_qwen35_q8_qwen3reranker06b_external_bm25s_v6.csv,12_V6_validated_tools_option_retrieval.ipynb,"External BM25S, Qwen3 reranker, News/Philosophy support",Ancient History and Politics,34,39,0.8717948717948718
0,First option,first_option_comp_0.csv,00_api_smoke_test.ipynb,Baseline naive Entertainment,Entertainment,4,12,0.3333333333333333
10,TF-IDF,simplewiki_tfidf_no_llm_all_competitions.csv,01_quiz_tfidf_no_llm.ipynb,"SimpleWiki TF-IDF, no LLM",Entertainment,13,38,0.34210526315789475
20,BM25,simplewiki_bm25_no_llm_all_competitions.csv,02_quiz_bm25_no_llm.ipynb,"SimpleWiki BM25, no LLM",Entertainment,1,6,0.16666666666666666
30,KELM BM25,simplewiki_kelm_bm25_no_llm_all_competitions.csv,03_quiz_bm25_multi_index_no_llm.ipynb,"SimpleWiki + KELM BM25, no LLM",Entertainment,2,12,0.16666666666666666
40,BERT rerank,simplewiki_kelm_bert_no_llm_all_competitions_colab.csv,05_quiz_bm25_multi_index_bert_no_llm_colab.ipynb,"BM25 multi-index + BERT reranker, no LLM",Entertainment,6,17,0.35294117647058826
50,BERT + LLM/tools,simplewiki_kelm_bm25_bert_llm_agentic_tools_colab.csv,06_quiz_bm25_bert_llm_agentic_tools_colab.ipynb,RAG + small LLM + initial agentic tools,Entertainment,15,26,0.5769230769230769
